Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,User_Score
4294,Fallen Empire Reborn,Xbox One,2024.0,Fighting,Konami,0.02,0.01,0.0,0.04,0.07,69.0,6.4
4295,Ancient Horizon III,Game Boy Advance,2020.0,Misc,NetherRealm Studios,0.04,0.03,0.03,0.04,0.14,,6.7
4296,Wicked Dominion 2,DS,2010.0,Simulation,Epic Games,0.01,0.01,0.01,0.02,0.05,70.0,8.2
4297,Wild Odyssey,DS,2003.0,Simulation,Deep Silver,0.09,0.05,0.06,0.1,0.3,64.0,7.4
4298,  SILENT REALM 2  ,DS,2018.0,Simulation,2K Games,0.15,0.05,0.07,0.05,0.32,69.0,
4299,Steel Rebellion 2,Wii,2003.0,Simulation,Bethesda Softworks,0.12,0.1,0.04,0.13,0.39,75.0,8.1
4300,Steel Crusade III,Wii U,,Adventure,Team17,0.01,0.0,0.0,0.01,0.02,,5.1
4301,Final Syndicate: Redux,Wii U,2014.0,Misc,NetherRealm Studios,0.13,0.11,0.02,0.1,0.36,,7.7
4302,Frozen Frontier: Redux,PS Vita,2022.0,Fighting,505 Games,0.18,0.11,0.1,0.0,0.39,,
4303,Final Odyssey II,PC,2007.0,Racing,Sega,0.04,0.03,0.03,0.03,0.13,71.0,7.7
4304,Crimson Origins: Origins,PS4,2009.0,Action,Square Enix,0.04,0.04,0.02,0.06,0.16,48.0,6.1
4305,Steel Reckoning IV,PS Vita,2014.0,Misc,Warner Bros. Interactive,0.0,0.0,0.0,0.01,0.01,,8.4
4306,Ancient Requiem,3DS,2024.0,Fighting,Codemasters,0.02,0.01,0.01,0.02,0.06,,6.4
4307,Lost Crusade: Gold Edition,DS,2022.0,Platform,Nintendo,0.08,0.03,0.04,0.04,0.19,58.0,4.7
4308,Hollow Syndicate: Redux,Xbox Series X,2024.0,Racing,Warner Bros. Interactive,0.02,0.01,0.02,0.01,0.06,52.0,8.4
4309,Eternal Odyssey,Wii,2002.0,Misc,Bethesda Softworks,0.01,0.01,0.0,0.01,0.03,72.0,7.5
4310,Ancient Frontier IV,PS4,2008.0,Action,Activision,0.01,0.0,0.0,0.01,0.02,65.0,8.6
4311,Rising Rebellion 3,GameCube,2002.0,Adventure,Paradox Interactive,0.07,0.04,0.02,0.02,0.15,88.0,7.3
4312,Crimson Frontier: Remastered,GameCube,2013.0,Racing,2K Games,0.02,0.02,0.0,0.01,0.05,57.0,
4313,Storm Blitz III,Game Boy Advance,2005.0,Adventure,Square Enix,0.01,0.01,0.01,0.0,0.03,63.0,7.9
4314,Frozen Kingdom,Wii,2021.0,Role-Playing,Sega,0.16,0.13,0.11,0.05,0.45,54.0,5.0
4315,Steel Arena,PS5,2025.0,Fighting,Nintendo,0.08,0.05,0.04,0.05,0.22,63.0,7.0
4316,Ancient Nexus: Redux,Xbox Series X,2012.0,Shooter,Bethesda Softworks,0.08,0.06,0.02,0.04,0.2,89.0,6.8
4317,Neon Horizon: Redux,PS3,2003.0,Platform,CD Projekt,-0.03,0.03,0.02,0.0,0.08,48.0,7.2
4318,Astral Covenant: Origins,PS3,2015.0,Platform,Epic Games,0.04,0.03,0.03,0.02,0.12,68.0,7.4
4319,Golden Kingdom Online,Xbox 360,2009.0,Sports,Sony Interactive Entertainment,0.06,0.04,0.01,0.03,0.14,74.0,6.5
4320,Neon Blitz 3,ds,,Platform,Paradox Interactive,0.06,0.04,0.02,0.01,0.13,66.0,7.8
4321,Broken Arena Online,Xbox Series X,2011.0,Adventure,Rockstar Games,0.02,0.01,0.0,0.01,0.04,59.0,5.7
4322,Silent Voyage Reborn,PS5,2015.0,Racing,Paradox Interactive,0.2,0.13,0.12,0.0,0.45,49.0,6.4
4323,Twisted Dominion 2,3DS,2014.0,Strategy,Rockstar Games,0.02,0.01,0.01,0.01,0.05,71.0,6.3
4324,Iron Legends Online,GameCube,2020.0,Fighting,Microsoft Studios,0.2,0.1,0.04,0.07,0.41,,8.7
4325,Final Horizon 2,Nintendo Switch,2008.0,Shooter,CD Projekt,0.05,0.03,0.02,0.0,0.1,48.0,7.2
4326,Frozen Crusade IV,PC,2002.0,Simulation,NetherRealm Studios,0.19,0.08,0.06,0.08,0.41,94.0,7.1
4327,Eternal Frontier,Xbox One,2021.0,Puzzle,Annapurna Interactive,0.12,0.1,0.07,0.06,0.35,80.0,8.0
4328,Savage Arena IV,PS Vita,2026.0,Platform,505 Games,0.09,0.06,0.02,0.04,0.21,49.0,6.4
4329,Broken Blitz,psp,2005.0,Platform,Take-Two Interactive,0.01,0.01,0.0,0.02,0.04,69.0,
4330,Astral Dominion Reborn,PS3,2016.0,Strategy,Sega,0.0,0.0,0.0,0.01,0.01,65.0,4.5
4331,Iron Horizon: Remastered,Wii,2001.0,Misc,Epic Games,0.04,0.05,0.05,0.03,0.17,44.0,6.1
4332,Rising Odyssey 3,Xbox 360,2011.0,Action,Bethesda Softworks,0.21,0.21,0.03,0.28,0.73,44.0,5.6
4333,Steel Warfare IV,Nintendo Switch,2006.0,Adventure,Nintendo,0.06,0.07,0.03,0.04,0.2,85.0,5.9
4334,Ancient Origins Online,DS,2025.0,Puzzle,Sony Interactive Entertainment,0.14,0.07,0.05,0.01,0.27,73.0,6.9
4335,Lost Vanguard: Remastered,GameCube,,Puzzle,Bandai Namco,0.04,0.02,0.01,0.04,0.11,82.0,4.6
4336,Silent Vanguard: Gold Edition,Game Boy Advance,2007.0,Racing,Nintendo,0.05,0.03,0.03,0.0,0.11,69.0,8.0
4337,Lost Blitz II,PS5,2024.0,Role-Playing,Ubisoft,0.0,0.0,0.0,0.01,0.01,59.0,
4338,Eternal Origins 2,PC,2024.0,Platform,Microsoft Studios,0.02,0.02,0.02,0.02,0.08,71.0,5.7
4339,Shadow Covenant IV,PS4,2006.0,Simulation,Epic Games,0.05,0.03,0.03,0.0,0.1,82.0,8.1
4340,Steel Reckoning: Redux,Game Boy Advance,2019.0,Sports,Sony Interactive Entertainment,0.07,0.03,0.03,0.01,0.14,91.0,6.0
4341,Shadow Syndicate,Wii,2008.0,Racing,Capcom,0.17,0.09,0.04,0.07,0.37,80.0,7.7
4342,Neon Legion: Origins,PS4,2012.0,Sports,Annapurna Interactive,0.23,0.24,0.08,0.28,0.83,,4.7
4343,Sacred Genesis Reborn,3DS,2020.0,Puzzle,Annapurna Interactive,0.04,0.05,0.03,0.02,0.14,55.0,6.6
4344,Sacred Empire Online,GameCube,2007.0,Sports,,0.18,0.13,0.03,0.21,0.55,60.0,7.2
4345,Wicked Sanctuary 3,3DS,,Puzzle,Warner Bros. Interactive,0.02,0.01,0.01,0.01,0.05,61.0,6.4
4346,  LOST ARENA ONLINE  ,Game Boy Advance,2014.0,Strategy,Atari,0.14,0.09,0.02,0.05,0.3,,5.7
4347,Twisted Horizon,PS4,2018.0,Fighting,Paradox Interactive,0.01,0.0,0.0,0.01,0.02,,7.9
4348,Storm Requiem: Redux,PS2,2006.0,Puzzle,Bethesda Softworks,0.01,0.0,0.0,0.01,0.02,85.0,5.5
4349,Shadow Paradox IV,GameCube,,Simulation,Codemasters,0.07,0.03,0.01,0.05,0.16,58.0,
4350,Storm Nexus III,Xbox 360,2023.0,Misc,Electronic Arts,3.32,1.63,0.6,1.06,6.61,88.0,6.1
4351,  GRAND UPRISING 3  ,PS5,2013.0,Adventure,Devolver Digital,0.14,0.15,0.09,0.17,0.55,74.0,4.4
4352,Astral Chronicles,PC,2000.0,Fighting,Atari,0.08,0.04,0.04,0.0,0.16,80.0,7.9
4353,Steel Blitz 3,ps2,2008.0,Sports,Take-Two Interactive,0.18,0.08,0.09,0.04,0.39,,5.8
4354,Fallen Odyssey 3,PS5,2015.0,Role-Playing,Codemasters,0.02,0.02,0.0,0.03,0.07,56.0,6.4
4355,Storm Frontier 3,PS4,2017.0,Fighting,Warner Bros. Interactive,0.06,0.02,0.02,0.02,0.12,82.0,4.8
4356,Savage Crusade,Xbox Series X,2003.0,Action,Konami,0.54,0.54,0.54,0.36,1.98,,6.1
4357,Broken Syndicate IV,Xbox Series X,2013.0,Adventure,Warner Bros. Interactive,-0.04,0.03,0.03,0.0,0.09,61.0,6.7
4358,Savage Dominion III,GameCube,2025.0,Sports,Activision,0.08,0.03,0.03,0.04,0.18,40.0,5.7
4359,Neon Vanguard 3,PSP,2011.0,Strategy,CD Projekt,0.04,0.02,0.01,0.01,0.08,74.0,5.5
4360,Final Warfare III,PS5,2014.0,Adventure,Electronic Arts,0.07,0.03,0.0,0.03,0.13,69.0,4.9
4361,Steel Sanctuary 3,Wii U,2011.0,Fighting,Sega,0.02,0.01,0.01,0.02,0.06,65.0,8.8
4362,Frozen Legends III,PS2,2021.0,Action,Ubisoft,0.02,0.02,0.0,0.01,0.05,67.0,3.0
4363,Shadow Realm: Redux,3DS,2025.0,Role-Playing,Epic Games,0.0,0.0,0.0,0.01,0.01,70.0,8.5
4364,Neon Kingdom: Origins,wii u,2023.0,Puzzle,Square Enix,0.05,0.04,0.03,0.02,0.14,71.0,8.1
4365,Storm Empire: Redux,Wii U,2002.0,Action,505 Games,0.03,0.02,0.01,0.05,0.11,,7.4
4366,Grand Voyage III,PS Vita,2012.0,Fighting,Bandai Namco,0.14,0.06,0.11,0.1,0.41,,8.3
4367,Steel Voyage III,Nintendo Switch,2008.0,Shooter,Epic Games,0.09,0.04,0.01,0.15,0.29,69.0,5.1
4368,Silent Horizon 2,PS Vita,2024.0,Puzzle,NetherRealm Studios,0.01,0.01,0.01,0.0,0.03,63.0,5.2
4369,Savage Legends,PC,2015.0,Fighting,Konami,0.07,0.03,0.02,0.01,0.13,70.0,8.6
4370,Neon Dominion IV,PC,2008.0,Strategy,Ubisoft,0.15,0.07,0.07,0.0,0.29,87.0,5.7
4371,Phantom Frontier: Remastered,PS Vita,2004.0,Misc,Paradox Interactive,0.13,0.08,0.04,0.09,0.34,,7.9
4372,Storm Horizon: Remastered,PC,2026.0,Misc,Microsoft Studios,0.02,0.01,0.01,0.01,0.05,76.0,8.1
4373,Lost Sanctuary,Xbox Series X,2025.0,Misc,Focus Entertainment,0.07,0.07,0.02,0.04,0.2,71.0,7.7
4374,Hollow Empire: Origins,xbox series x,2007.0,Strategy,Ubisoft,0.28,0.2,0.16,0.0,0.64,67.0,7.0
4375,Wicked Syndicate II,3DS,2003.0,Adventure,Paradox Interactive,0.03,0.02,0.01,0.06,0.12,65.0,6.6
4376,Iron Realm III,ds,2008.0,Sports,Focus Entertainment,0.03,0.03,0.01,0.03,0.1,76.0,7.9
4377,Astral Arena,Game Boy Advance,2026.0,Action,Capcom,0.05,0.02,0.03,0.05,0.15,,6.5
4378,Rising Uprising: Origins,Xbox 360,2012.0,Platform,Annapurna Interactive,0.01,0.0,0.0,0.0,0.01,89.0,6.7
4379,Fallen Vanguard 2,PS3,2023.0,Misc,Sega,0.01,0.0,0.0,0.01,0.02,82.0,9.6
4380,Storm Legends 3,PS2,2014.0,Fighting,Bethesda Softworks,0.17,0.09,0.02,0.17,0.45,61.0,7.5
4381,Hollow Rebellion Online,Nintendo Switch,2003.0,Sports,Take-Two Interactive,0.07,0.05,0.04,0.0,0.16,41.0,9.3
4382,Neon Sanctuary IV,Xbox One,2004.0,Fighting,Tecmo Koei,0.03,0.02,0.02,0.0,0.07,81.0,8.5
4383,Rogue Legion 2,Playstation 5,2008.0,Simulation,Microsoft Studios,0.01,0.0,0.0,0.0,0.01,56.0,9.8
4384,Lost Voyage IV,Xbox One,2014.0,Platform,Atari,0.12,0.12,0.06,0.07,0.37,,9.3
4385,Dark Genesis IV,PS5,2024.0,Sports,505 Games,0.01,0.0,0.0,0.01,0.02,70.0,
4386,Astral Horizon: Redux,Xbox One,2017.0,Sports,Atari,0.03,0.02,0.01,0.04,0.1,65.0,
4387,Crimson Vanguard: Redux,Game Boy Advance,2000.0,Puzzle,Electronic Arts,0.59,0.5,0.17,0.57,1.83,89.0,6.6
4388,Dark Warfare III,PS3,2004.0,Fighting,Nintendo,0.05,0.03,0.03,0.0,0.11,66.0,7.6
4389,Rising Vanguard III,PS Vita,2020.0,Role-Playing,Focus Entertainment,0.02,0.03,0.01,0.03,0.09,58.0,7.1
4390,Hollow Requiem,Xbox Series X,2022.0,Sports,Codemasters,0.02,0.01,0.01,0.01,0.05,76.0,6.2
4391,Hollow Origins 3,PS5,2002.0,Racing,THQ,0.01,0.0,0.01,0.0,0.02,75.0,8.1
4392,  BROKEN ARENA: GOLD EDITION  ,PS5,2001.0,Misc,Capcom,0.19,0.09,0.09,0.09,0.46,81.0,9.0
4393,Twisted Syndicate Online,PC,2006.0,Sports,Team17,0.01,0.0,0.0,0.01,0.02,70.0,6.1
4394,Dark Dominion: Redux,Xbox One,2002.0,Sports,Sony Interactive Entertainment,0.04,0.02,0.03,0.04,0.13,69.0,8.0
4395,Dark Requiem II,PS Vita,2025.0,Action,505 Games,0.03,0.04,0.03,0.02,0.12,68.0,6.2
4396,Neon Genesis Online,PS5,2009.0,Platform,Tecmo Koei,0.36,0.26,0.11,0.04,0.77,59.0,6.6
4397,Twisted Nexus: Remastered,PSP,2003.0,Action,Epic Games,0.08,0.04,0.06,0.04,0.22,79.0,7.3
4398,Dark Requiem: Origins,PSP,2024.0,Sports,Sony Interactive Entertainment,0.03,0.01,0.0,0.03,0.07,57.0,4.7
4399,Wicked Horizon Online,Xbox 360,2004.0,Adventure,Devolver Digital,0.14,0.08,0.04,0.03,0.29,55.0,8.9
4400,  WILD ORIGINS REBORN  ,PS5,,Adventure,Warner Bros. Interactive,0.14,0.05,0.07,0.0,0.26,74.0,5.4
4401,Eternal Rebellion Reborn,PC,2008.0,Role-Playing,,0.03,0.03,0.0,0.04,0.1,66.0,8.8
4402,Phantom Dominion II,Xbox Series X,2022.0,Sports,Deep Silver,0.01,0.01,0.01,0.0,0.03,81.0,7.7
4403,Crimson Covenant IV,Xbox Series X,2005.0,Puzzle,Rockstar Games,0.08,0.05,0.07,0.06,0.26,58.0,9.2
4404,Wicked Chronicles: Gold Edition,PS2,2026.0,Adventure,505 Games,0.13,0.09,0.05,0.1,0.37,93.0,6.0
4405,Frozen Syndicate: Gold Edition,PS5,2012.0,Action,Take-Two Interactive,0.03,0.01,0.01,0.01,0.06,72.0,3.9
4406,Broken Blitz: Remastered,PC,2009.0,Puzzle,505 Games,0.1,0.04,0.03,0.11,0.28,,6.7
4407,Grand Rebellion 3,Xbox One,2011.0,Racing,2K Games,0.07,0.05,0.01,0.1,0.23,43.0,8.9
4408,Final Realm: Origins,Nintendo Switch,2024.0,Fighting,Electronic Arts,0.02,0.01,0.0,0.0,0.03,74.0,8.5
4409,Hollow Horizon IV,PS4,2026.0,Adventure,THQ,0.03,0.02,0.0,0.03,0.08,,4.7
4410,Broken Genesis IV,Wii,2015.0,Platform,2K Games,0.14,0.07,0.04,0.07,0.32,49.0,8.0
4411,Rising Crusade III,PSP,2020.0,Shooter,Activision,0.14,0.06,0.06,0.0,0.26,91.0,8.2
4412,Silent Horizon IV,PS4,2010.0,Fighting,Annapurna Interactive,0.01,0.01,0.01,0.0,0.03,78.0,7.1
4413,Frozen Horizon: Redux,PS Vita,2007.0,Sports,Take-Two Interactive,0.2,0.1,0.04,0.11,0.45,68.0,5.8
4414,  WICKED ARENA: REDUX  ,PS Vita,2000.0,Puzzle,THQ,0.1,0.03,0.02,0.07,0.22,,
4415,Neon Realm,PS4,2011.0,Sports,Square Enix,0.06,0.06,0.05,0.05,0.22,,8.5
4416,Broken Arena IV,PS4,2001.0,Platform,THQ,0.03,0.02,0.01,0.01,0.07,,
4417,Hollow Uprising Reborn,PS4,2009.0,Puzzle,Konami,0.07,0.04,0.05,0.09,0.25,,5.1
4418,Phantom Origins: Redux,PS5,2011.0,Sports,Bandai Namco,0.18,0.11,0.06,0.01,0.36,67.0,6.2
4419,Fallen Legends II,Wii U,2004.0,Action,Rockstar Games,0.04,0.03,0.01,0.0,0.08,75.0,8.0
4420,Twisted Realm: Redux,Xbox One,2026.0,Puzzle,Microsoft Studios,0.01,0.01,0.01,0.0,0.02,79.0,7.3
4421,Crimson Covenant III,GameCube,2008.0,Simulation,Team17,0.22,0.13,0.05,0.03,0.43,74.0,9.7
4422,Dark Legends: Redux,PS4,2012.0,Platform,NetherRealm Studios,0.06,0.03,0.01,0.01,0.11,52.0,6.2
4423,Grand Arena: Redux,PS5,2017.0,Action,Warner Bros. Interactive,0.3,0.18,0.15,0.24,0.87,60.0,5.3
4424,Ancient Covenant: Redux,DS,2002.0,Platform,Activision,0.01,0.0,0.01,0.0,0.02,,6.1
4425,Shadow Vanguard Online,PS Vita,2005.0,Adventure,2K Games,0.08,0.06,0.03,0.08,0.25,82.0,8.8
4426,Radiant Covenant Online,Wii U,2016.0,Strategy,Atari,0.01,0.01,0.0,0.02,0.04,58.0,8.2
4427,Twisted Covenant 2,PC,2012.0,Strategy,Codemasters,0.1,0.09,0.03,0.18,0.4,63.0,6.7
4428,Grand Arena: Redux,PS3,2004.0,Simulation,Bethesda Softworks,0.04,0.03,0.02,0.05,0.14,76.0,8.6
4429,Astral Realm Online,Wii,2015.0,Role-Playing,Microsoft Studios,0.06,0.04,0.04,0.0,0.14,67.0,
4430,Radiant Crusade: Remastered,PS4,2019.0,Adventure,Nintendo,0.17,0.12,0.1,0.0,0.39,70.0,8.0
4431,Broken Arena: Origins,Wii,2012.0,Action,Rockstar Games,0.14,0.09,0.01,0.23,0.47,62.0,7.4
4432,Silent Empire: Remastered,Xbox One,2004.0,Strategy,Capcom,0.01,0.0,0.01,0.0,0.02,65.0,7.6
4433,Crimson Arena: Remastered,Xbox One,2008.0,Adventure,Team17,0.18,0.09,0.06,0.0,0.33,64.0,7.1
4434,Ancient Chronicles III,Nintendo Switch,2017.0,Simulation,Take-Two Interactive,0.1,0.11,0.07,0.06,0.34,74.0,7.0
4435,Astral Legends,DS,2021.0,Role-Playing,Warner Bros. Interactive,0.46,0.34,0.11,0.07,0.98,58.0,6.1
4436,Neon Requiem 3,PS4,,Fighting,2K Games,0.0,0.0,0.0,0.01,0.01,,8.3
4437,Hollow Requiem II,PS3,2019.0,Racing,Sega,0.08,0.05,0.02,0.04,0.19,,6.7
4438,Astral Origins: Origins,GameCube,2005.0,Shooter,Electronic Arts,0.07,0.06,0.05,0.01,0.19,78.0,8.5
4439,Rogue Sanctuary III,Wii U,2022.0,Strategy,Focus Entertainment,0.02,0.02,0.01,0.02,0.07,80.0,5.7
4440,Hollow Uprising III,PS Vita,2004.0,Role-Playing,Take-Two Interactive,0.08,0.05,0.04,0.03,0.2,,5.2
4441,Golden Sanctuary 2,Xbox Series X,2006.0,Sports,Take-Two Interactive,0.01,0.01,0.0,0.01,0.03,43.0,6.6
4442,Hollow Arena: Gold Edition,GameCube,2006.0,Sports,Atari,0.19,0.11,0.04,0.03,0.37,63.0,6.5
4443,Shadow Voyage III,PS3,2011.0,Misc,Rockstar Games,0.01,0.01,0.0,0.0,0.02,,8.1
4444,Fallen Sanctuary Online,Xbox One,2015.0,Shooter,Rockstar Games,0.03,0.02,0.0,0.02,0.07,82.0,
4445,Neon Voyage Online,PS3,2005.0,Fighting,Nintendo,0.01,0.0,0.0,0.01,0.02,60.0,6.5
4446,Frozen Blitz Reborn,Wii U,2015.0,Shooter,Microsoft Studios,0.01,0.01,0.0,0.01,0.03,59.0,6.4
4447,Dark Legion: Remastered,Wii U,2003.0,Simulation,Paradox Interactive,0.1,0.05,0.07,0.09,0.31,72.0,7.8
4448,Wild Warfare 2,Xbox Series X,2006.0,Puzzle,Sony Interactive Entertainment,0.05,0.04,0.02,0.01,0.12,57.0,8.4
4449,  TWISTED SYNDICATE 3  ,XBOX ONE,2021.0,Racing,Nintendo,0.02,0.02,0.0,0.05,0.09,83.0,5.3
4450,Steel Chronicles II,PS4,2012.0,Misc,Sony Interactive Entertainment,0.01,0.0,0.0,0.01,0.02,86.0,5.4
4451,Eternal Paradox Reborn,PS3,2009.0,Simulation,Activision,0.03,0.03,0.01,0.03,0.1,66.0,8.9
4452,Shadow Chronicles IV,DS,2013.0,Action,Codemasters,0.11,0.09,0.07,0.0,0.27,,7.4
4453,Astral Empire: Origins,Xbox One,2010.0,Role-Playing,THQ,0.01,0.0,0.0,0.01,0.02,,7.8
4454,Grand Nexus: Origins,3DS,2002.0,Simulation,Ubisoft,0.02,0.01,0.01,0.0,0.04,,6.6
4455,Dark Reckoning Reborn,PC,2015.0,Adventure,Epic Games,0.01,0.0,0.0,0.01,0.02,91.0,6.4
4456,Eternal Vanguard,3DS,2004.0,Puzzle,Paradox Interactive,0.02,0.01,0.01,0.0,0.04,53.0,7.7
4457,Eternal Vanguard,Game Boy Advance,2022.0,Fighting,Atari,0.03,0.01,0.01,0.04,0.09,65.0,6.6
4458,Rogue Blitz III,gamecube,2007.0,Misc,Epic Games,0.03,0.03,0.03,0.0,0.09,66.0,
4459,Steel Odyssey,GameCube,2014.0,Racing,Focus Entertainment,0.05,0.03,0.02,0.0,0.1,82.0,
4460,Shadow Legion Online,GameCube,2021.0,Shooter,NetherRealm Studios,0.01,0.01,0.0,0.0,0.02,71.0,
4461,Crimson Sanctuary: Gold Edition,PS4,2024.0,Simulation,Rockstar Games,0.06,0.04,0.03,0.0,0.12,,9.7
4462,Astral Odyssey,PS Vita,2014.0,Platform,2K Games,0.04,0.03,0.03,0.0,0.1,,
4463,Steel Frontier III,Wii,2006.0,Racing,Deep Silver,0.03,0.02,0.02,0.0,0.07,59.0,6.9
4464,Dark Paradox 2,DS,2005.0,Action,Electronic Arts,0.31,0.13,0.19,0.03,0.66,,8.3
4465,Twisted Horizon Online,DS,2002.0,Adventure,Square Enix,0.17,0.16,0.07,0.09,0.49,56.0,4.9
4466,Iron Paradox 3,Wii,2017.0,Puzzle,Take-Two Interactive,0.08,0.05,0.06,0.02,0.21,77.0,7.5
4467,Phantom Covenant III,PS Vita,2018.0,Misc,Sony Interactive Entertainment,0.02,0.01,0.0,0.01,0.04,79.0,8.6
4468,Sacred Legion,Wii,2020.0,Adventure,Codemasters,0.3,0.22,0.21,0.08,0.81,67.0,5.0
4469,Shadow Crusade 2,Wii U,2017.0,Action,Square Enix,0.07,0.04,0.02,0.08,0.21,71.0,9.0
4470,Grand Odyssey II,Wii,2013.0,Puzzle,Team17,0.04,0.02,0.02,0.0,0.08,62.0,5.3
4471,Broken Dominion,PS5,2017.0,Shooter,Rockstar Games,0.07,0.05,0.02,0.06,0.2,55.0,
4472,Phantom Sanctuary: Gold Edition,PS2,2009.0,Adventure,Annapurna Interactive,0.2,0.18,0.13,0.28,0.79,63.0,4.9
4473,Grand Legends: Origins,Xbox Series X,2024.0,Adventure,Annapurna Interactive,0.01,0.01,0.01,0.0,0.03,74.0,7.3
4474,Wild Legion IV,Xbox 360,2021.0,Platform,Warner Bros. Interactive,0.01,0.01,0.0,0.01,0.03,66.0,7.3
4475,Astral Requiem IV,PS5,2004.0,Strategy,2K Games,0.02,0.01,0.01,0.01,0.05,68.0,6.2
4476,Silent Vanguard,Xbox Series X,2016.0,Adventure,,0.17,0.13,0.05,0.19,0.54,58.0,8.4
4477,Dark Arena: Gold Edition,PC,2013.0,Action,Nintendo,0.07,0.05,0.04,0.09,0.25,69.0,6.9
4478,Wicked Legion,PS3,2020.0,Misc,Bethesda Softworks,0.27,0.18,0.12,0.08,0.65,63.0,8.2
4479,Savage Horizon: Redux,GameCube,2016.0,Role-Playing,Warner Bros. Interactive,0.06,0.05,0.05,0.03,0.19,78.0,
4480,Hollow Chronicles 3,PS5,2010.0,Role-Playing,Take-Two Interactive,0.11,0.08,0.1,0.12,0.41,77.0,5.3
4481,Astral Legends Online,GameCube,2024.0,Sports,Bethesda Softworks,0.02,0.02,0.01,0.01,0.06,66.0,10.0
4482,Sacred Requiem,PS4,2000.0,Misc,Devolver Digital,0.21,0.09,0.1,0.0,0.4,60.0,5.2
4483,Dark Origins Reborn,Wii,2025.0,Fighting,Paradox Interactive,0.1,0.08,0.06,0.06,0.3,70.0,4.5
4484,Wicked Empire: Remastered,Xbox 360,2014.0,Fighting,Capcom,0.01,0.01,0.01,0.0,0.03,92.0,5.3
4485,Wild Horizon,PS3,2026.0,Role-Playing,Deep Silver,0.31,0.16,0.12,0.27,0.86,64.0,6.7
4486,Astral Covenant 3,PS5,2015.0,Misc,THQ,0.01,0.0,0.0,0.0,0.01,72.0,6.9
4487,Neon Crusade,Xbox One,2001.0,Role-Playing,Atari,0.0,0.0,0.0,0.01,0.01,58.0,6.1
4488,Crimson Paradox IV,PC,2014.0,Adventure,Bandai Namco,0.06,0.03,0.03,0.01,0.13,,6.3
4489,Final Paradox: Gold Edition,psp,2016.0,Action,Bethesda Softworks,0.01,0.01,0.01,0.01,0.04,62.0,6.9
4490,Fallen Horizon: Redux,GameCube,2002.0,Puzzle,Activision,0.05,0.04,0.0,0.02,0.11,60.0,7.7
4491,Sacred Requiem: Origins,Game Boy Advance,2009.0,Racing,Take-Two Interactive,0.09,0.09,0.06,0.05,0.29,68.0,5.1
4492,Silent Empire: Gold Edition,PS3,2001.0,Platform,Team17,0.04,0.02,0.03,0.04,0.13,99.0,5.5
4493,Eternal Nexus: Redux,PS4,2024.0,Sports,Team17,0.01,0.0,0.0,0.01,0.02,,7.5
4494,Sacred Realm,Xbox 360,2023.0,Action,Epic Games,0.04,0.02,0.01,0.04,0.11,77.0,6.7
4495,Neon Blitz: Redux,Wii U,2011.0,Sports,Sony Interactive Entertainment,0.01,0.01,0.01,0.0,0.03,68.0,6.9
4496,Lost Nexus Reborn,PS5,,Fighting,Capcom,0.07,0.03,0.04,0.01,0.15,91.0,6.9
4497,Final Kingdom: Redux,Xbox Series X,2025.0,Simulation,Nintendo,0.01,0.0,0.0,0.01,0.02,81.0,6.8
4498,  LOST GENESIS REBORN  ,Game Boy Advance,2025.0,Simulation,Tecmo Koei,0.02,0.02,0.02,0.0,0.06,67.0,
4499,Dark Odyssey: Remastered,Xbox One,2005.0,Action,Microsoft Studios,0.1,0.07,0.01,0.02,0.2,,7.3
4500,Grand Paradox Reborn,Xbox One,2020.0,Sports,Annapurna Interactive,0.05,0.04,0.01,0.03,0.13,73.0,6.8
4501,Twisted Arena II,PS4,2006.0,Simulation,Microsoft Studios,0.05,0.04,0.0,0.04,0.13,54.0,6.6
4502,Wicked Paradox 3,PS4,2018.0,Role-Playing,CD Projekt,0.11,0.05,0.04,0.09,0.29,53.0,4.6
4503,Shadow Frontier: Redux,Xbox One,2002.0,Action,Epic Games,0.53,0.2,0.11,0.27,1.11,77.0,6.8
4504,Golden Kingdom,Xbox Series X,2017.0,Misc,Epic Games,0.09,0.06,0.05,0.02,0.22,,6.7
4505,Eternal Legends II,PS3,2021.0,Sports,Epic Games,0.11,0.06,0.07,0.01,0.25,46.0,7.2
4506,Astral Legends: Gold Edition,3DS,2004.0,Racing,Take-Two Interactive,0.38,0.25,0.08,0.28,0.99,77.0,
4507,Sacred Kingdom Reborn,Xbox One,2026.0,Simulation,Microsoft Studios,0.0,0.0,0.0,0.01,0.01,64.0,6.8
4508,Lost Sanctuary: Redux,PC,2009.0,Shooter,Sony Interactive Entertainment,0.01,0.0,0.0,0.01,0.02,94.0,7.3
4509,Fallen Odyssey: Redux,Xbox Series X,2019.0,Misc,Team17,0.49,0.26,0.06,0.87,1.68,74.0,6.8
4510,Shadow Reckoning Online,Wii U,2010.0,Simulation,Electronic Arts,0.03,0.04,0.0,0.04,0.11,53.0,9.7
4511,Wicked Rebellion: Gold Edition,Nintendo Switch,2003.0,Shooter,505 Games,0.08,0.04,0.01,0.07,0.2,68.0,7.1
4512,Ancient Arena 3,Xbox 360,2017.0,Sports,Codemasters,0.03,0.02,0.01,0.0,0.06,51.0,6.8
